,purchase_make,purchase_model,model_popularity,actual
13,AUDI,100 SERIES,1,1.0
23,AUDI,R8,1,1.0
26,AUDI,RS6,2,1.0
25,AUDI,RS5,2,1.0
30,AUDI,S8,3,0.6666666666666666
20,AUDI,ALLROAD,6,0.16666666666666666
24,AUDI,RS4,9,0.4444444444444444
29,AUDI,S6,11,0.45454545454545453
32,AUDI,TTS,17,0.23529411764705882
18,AUDI,A7,35,0.34285714285714286
19,AUDI,A8,62,0.5
27,AUDI,S4,79,0.35443037974683544
31,AUDI,TT,106,0.44339622641509435
28,AUDI,S5,122,0.39344262295081966
17,AUDI,A6,256,0.375
14,AUDI,A3,259,0.35135135135135137
22,AUDI,Q7,267,0.3595505617977528
16,AUDI,A5,307,0.3583061889250814
21,AUDI,Q5,398,0.3341708542713568
15,AUDI,A4,1244,0.3496784565916399
