,purchase_make,purchase_model,model_popularity,actual
38,BMW,318,1,1.0
70,BMW,X6 HYBRID,1,0.0
39,BMW,320,2,0.5
45,BMW,335 HYBRID,2,0.0
53,BMW,640,3,0.0
61,BMW,760,3,0.6666666666666666
62,BMW,ALPINA B7,3,0.3333333333333333
37,BMW,1M,4,0.5
60,BMW,750 HYBRID,5,0.2
50,BMW,540,7,0.8571428571428571
54,BMW,640 B640,7,0.2857142857142857
40,BMW,323,10,0.6
51,BMW,545,13,0.3076923076923077
71,BMW,Z3,13,0.7692307692307693
58,BMW,745,19,0.5263157894736842
66,BMW,X1,20,0.35
55,BMW,645,32,0.28125
57,BMW,740,41,0.6585365853658537
65,BMW,M6,57,0.2982456140350877
46,BMW,525,68,0.4852941176470588
64,BMW,M5,72,0.3888888888888889
48,BMW,530,131,0.3969465648854962
69,BMW,X6,144,0.3819444444444444
36,BMW,135,165,0.3575757575757576
56,BMW,650,185,0.3621621621621622
52,BMW,550,233,0.3905579399141631
43,BMW,330,344,0.3866279069767442
59,BMW,750,365,0.3917808219178082
63,BMW,M3,369,0.41192411924119243
35,BMW,128,387,0.3798449612403101
67,BMW,X3,468,0.33760683760683763
49,BMW,535,478,0.34309623430962344
72,BMW,Z4,541,0.3234750462107209
41,BMW,325,600,0.3516666666666667
47,BMW,528,701,0.37660485021398005
68,BMW,X5,924,0.35064935064935066
44,BMW,335,1094,0.3336380255941499
42,BMW,328,3675,0.33442176870748297
