,purchase_make,purchase_model,model_popularity,actual
89,CADILLAC,ALLANTE,2,0.5
95,CADILLAC,ELDORADO,2,0.5
91,CADILLAC,BROUGHAM,5,0.6
98,CADILLAC,SEVILLE,14,0.5
97,CADILLAC,ESCALADE HYBRID,23,0.30434782608695654
102,CADILLAC,XTS,29,0.5862068965517241
90,CADILLAC,ATS,36,0.3055555555555556
101,CADILLAC,XLR,40,0.375
93,CADILLAC,DEVILLE,79,0.5569620253164557
100,CADILLAC,STS,271,0.35793357933579334
94,CADILLAC,DTS,294,0.36054421768707484
96,CADILLAC,ESCALADE,608,0.3618421052631579
99,CADILLAC,SRX,1339,0.3241224794622853
92,CADILLAC,CTS,1940,0.3391752577319588
