,purchase_make,purchase_model,model_popularity,actual
174,CHRYSLER,NEW YORKER,1,0.0
168,CHRYSLER,ASPEN HYBRID,1,0.0
169,CHRYSLER,CIRRUS,2,0.0
173,CHRYSLER,LEBARON,2,1.0
179,CHRYSLER,VOYAGER,3,0.0
170,CHRYSLER,CONCORDE,6,0.3333333333333333
172,CHRYSLER,CROSSFIRE SRT-6,9,0.4444444444444444
166,CHRYSLER,300M,13,0.6923076923076923
165,CHRYSLER,300 C SRT,97,0.36082474226804123
167,CHRYSLER,ASPEN,161,0.2919254658385093
171,CHRYSLER,CROSSFIRE,177,0.3898305084745763
175,CHRYSLER,PACIFICA,200,0.405
177,CHRYSLER,SEBRING,749,0.3591455273698264
176,CHRYSLER,PT CRUISER,1046,0.32504780114722753
163,CHRYSLER,200,1559,0.3495830660679923
164,CHRYSLER,300,2473,0.3396761133603239
178,CHRYSLER,TOWN AND COUNTRY,2942,0.32902787219578516
