,purchase_make,purchase_model,model_popularity,actual
213,DODGE,VIPER,1,1.0
182,DODGE,C/V,1,1.0
207,DODGE,RAM VAN 1500,1,0.0
205,DODGE,RAM C/V,1,0.0
204,DODGE,RAM 5500,1,0.0
210,DODGE,SPIRIT,2,0.5
209,DODGE,SHADOW,2,1.0
208,DODGE,RAM VAN 3500,2,1.0
199,DODGE,NEON SRT-4,4,0.75
211,DODGE,SPRINTER,6,1.0
194,DODGE,INTREPID,8,0.625
197,DODGE,MAGNUM SRT-8,16,0.3125
184,DODGE,CALIBER SRT-4,22,0.13636363636363635
206,DODGE,RAM SRT 10,32,0.46875
198,DODGE,NEON,58,0.44642857142857145
212,DODGE,STRATUS,90,0.35555555555555557
189,DODGE,CHARGER SRT-8,102,0.4019607843137255
185,DODGE,CARAVAN,117,0.3418803418803419
196,DODGE,MAGNUM,162,0.3395061728395062
203,DODGE,RAM 3500,165,0.4121212121212121
191,DODGE,DART,172,0.3953488372093023
187,DODGE,CHALLENGER SRT-8,177,0.2937853107344633
202,DODGE,RAM 2500,353,0.37110481586402266
190,DODGE,DAKOTA,536,0.33955223880597013
200,DODGE,NITRO,713,0.33520336605890605
192,DODGE,DURANGO,797,0.34127979924717694
186,DODGE,CHALLENGER,827,0.3651753325272068
183,DODGE,CALIBER,1359,0.3340691685062546
195,DODGE,JOURNEY,2053,0.3326838772528008
193,DODGE,GRAND CARAVAN,2612,0.33422664624808573
188,DODGE,CHARGER,2635,0.3415559772296015
181,DODGE,AVENGER,3603,0.32944768248681655
201,DODGE,RAM 1500,3967,0.37988404335770104
