,purchase_make,purchase_model,model_popularity,actual,
256,FORD,PROBE,1,1,0.34
219,FORD,CLUB WAGON,1,1,0.34
254,FORD,MAVERICK,1,1,0.34
253,FORD,LTD,1,0,0.34
248,FORD,FOCUS ELECTRIC,1,1,0.34
243,FORD,FESTIVA,1,1,0.34
242,FORD,F550,1,1,0.34
225,FORD,ECONOLINE,2,1,0.34
241,FORD,F450,2,1,0.34
236,FORD,F100,2,1,0.34
217,FORD,BRONCO,3,1,0.34
220,FORD,CONTOUR,3,1,0.34
262,FORD,WINDSTAR,17,0.588235294,0.34
238,FORD,F150 HERITAGE,18,0.277777778,0.34
234,FORD,EXPLORER SPORT,24,0.291666667,0.34
229,FORD,ESCORT,26,0.461538462,0.34
230,FORD,EXCURSION,39,0.512820513,0.34
249,FORD,FREESTAR,49,0.387755102,0.34
218,FORD,C-MAX,53,0.339622642,0.34
259,FORD,TAURUS X,70,0.442857143,0.34
222,FORD,E-150,79,0.455696203,0.34
261,FORD,TRANSIT CONNECT,100,0.41,0.34
260,FORD,THUNDERBIRD,103,0.300970874,0.34
250,FORD,FREESTYLE,125,0.288,0.34
245,FORD,FIVE HUNDRED,156,0.352564103,0.34
228,FORD,ESCAPE HYBRID,173,0.294797688,0.34
252,FORD,FUSION HYBRID,231,0.385281385,0.34
232,FORD,EXPEDITION EL,267,0.378277154,0.34
224,FORD,E-350,323,0.439628483,0.34
240,FORD,F350,328,0.390243902,0.34
235,FORD,EXPLORER SPORT TRAC,357,0.37535014,0.34
221,FORD,CROWN VICTORIA,359,0.376044568,0.34
223,FORD,E-250,376,0.425531915,0.34
239,FORD,F250,801,0.38701623,0.34
231,FORD,EXPEDITION,927,0.34412082,0.34
246,FORD,FLEX,927,0.307443366,0.34
244,FORD,FIESTA,1192,0.327181208,0.34
257,FORD,RANGER,1404,0.37962963,0.34
258,FORD,TAURUS,1636,0.344743276,0.34
233,FORD,EXPLORER,2286,0.350393701,0.34
226,FORD,EDGE,3764,0.331562168,0.34
255,FORD,MUSTANG,4451,0.365535835,0.34
251,FORD,FUSION,4501,0.331926239,0.34
247,FORD,FOCUS,4674,0.337826273,0.34
227,FORD,ESCAPE,4871,0.331964689,0.34
237,FORD,F150,6019,0.363183253,0.34
