,purchase_make,purchase_model,model_popularity,actual
267,GMC,C450,1,0.0
276,GMC,SAVANA 3500,3,0.6666666666666666
282,GMC,SIERRA HYBRID,4,0.25
278,GMC,SIERRA 1500 HD,4,0.0
273,GMC,SAFARI,5,0.4
272,GMC,JIMMY,5,0.4
275,GMC,SAVANA 2500,8,0.375
289,GMC,YUKON XL 2500,10,0.4
280,GMC,SIERRA 3500,16,0.4375
271,GMC,ENVOY XUV,17,0.4117647058823529
274,GMC,SAVANA 1500,19,0.631578947368421
283,GMC,SONOMA,23,0.391304347826087
281,GMC,SIERRA CLASSIC,24,0.375
284,GMC,SUBURBAN 2500,24,1.0
287,GMC,YUKON HYBRID,28,0.35714285714285715
270,GMC,ENVOY XL,81,0.4074074074074074
279,GMC,SIERRA 2500,143,0.32867132867132864
268,GMC,CANYON,201,0.29850746268656714
269,GMC,ENVOY,397,0.33753148614609574
288,GMC,YUKON XL 1500,529,0.33648393194706994
285,GMC,TERRAIN,871,0.3409873708381171
286,GMC,YUKON,939,0.3397231096911608
266,GMC,ACADIA,1212,0.31683168316831684
277,GMC,SIERRA 1500,1379,0.3567802755620014
