,purchase_make,purchase_model,model_popularity,actual
302,HONDA,PASSPORT,3,1.0
294,HONDA,CIVIC DEL SOL,6,0.6666666666666666
304,HONDA,PRELUDE,19,0.6842105263157895
292,HONDA,ACCORD HYBRID,33,0.36363636363636365
306,HONDA,S2000,156,0.4358974358974359
297,HONDA,CR-Z,235,0.35319148936170214
305,HONDA,RIDGELINE,423,0.3640661938534279
295,HONDA,CIVIC HYBRID,428,0.35514018691588783
298,HONDA,ELEMENT,580,0.3396551724137931
299,HONDA,FIT,881,0.32690124858115777
300,HONDA,INSIGHT,960,0.3260416666666667
291,HONDA,ACCORD CROSSTOUR,1269,0.3262411347517731
303,HONDA,PILOT,2038,0.3228655544651619
301,HONDA,ODYSSEY,2333,0.3317616802400343
296,HONDA,CR-V,3551,0.3399042523232892
293,HONDA,CIVIC,6527,0.3503906848475563
290,HONDA,ACCORD,8152,0.3440873405299313
