,purchase_make,purchase_model,model_popularity,actual
324,HYUNDAI,XG300,1,1.0
325,HYUNDAI,XG350,25,0.2
315,HYUNDAI,EQUUS,39,0.28205128205128205
314,HYUNDAI,ENTOURAGE,75,0.36
312,HYUNDAI,AZERA,178,0.3595505617977528
319,HYUNDAI,SONATA HYBRID,181,0.27624309392265195
320,HYUNDAI,TIBURON,184,0.3967391304347826
323,HYUNDAI,VERACRUZ,205,0.34146341463414637
322,HYUNDAI,VELOSTER,231,0.3852813852813853
321,HYUNDAI,TUCSON,802,0.35037406483790523
316,HYUNDAI,GENESIS,917,0.3227917121046892
311,HYUNDAI,ACCENT,1579,0.3318556048131729
317,HYUNDAI,SANTA FE,1598,0.31539424280350437
313,HYUNDAI,ELANTRA,2943,0.33231396534148827
318,HYUNDAI,SONATA,5188,0.3373168851195065
