,purchase_make,purchase_model,model_popularity,actual
349,INFINITI,QX60,1,1.0
327,INFINITI,EX37,1,0.0
340,INFINITI,M30,1,0.0
338,INFINITI,J30,1,1.0
342,INFINITI,M35H,8,0.25
332,INFINITI,G20,12,0.6666666666666666
347,INFINITI,QX4,14,0.5
346,INFINITI,Q45,15,0.4666666666666667
336,INFINITI,I30,18,0.7777777777777778
331,INFINITI,FX50,24,0.2916666666666667
345,INFINITI,M56,26,0.4230769230769231
330,INFINITI,FX45,50,0.38
329,INFINITI,FX37,55,0.41818181818181815
337,INFINITI,I35,57,0.49122807017543857
339,INFINITI,JX35,78,0.3717948717948718
344,INFINITI,M45,98,0.30612244897959184
333,INFINITI,G25,240,0.31666666666666665
343,INFINITI,M37,301,0.33554817275747506
348,INFINITI,QX56,395,0.3468354430379747
326,INFINITI,EX35,396,0.3787878787878788
341,INFINITI,M35,415,0.35903614457831323
328,INFINITI,FX35,660,0.3287878787878788
334,INFINITI,G35,1366,0.35505124450951686
335,INFINITI,G37,2939,0.34059203810820005
