,purchase_make,purchase_model,model_popularity,actual
385,KIA,CADENZA,1,0.0
393,KIA,SEPHIA,1,0.0
397,KIA,SPECTRA5,31,0.41935483870967744
383,KIA,AMANTI,68,0.47058823529411764
390,KIA,RIO5,81,0.38271604938271603
384,KIA,BORREGO,83,0.3855421686746988
391,KIA,RONDO,162,0.29012345679012347
388,KIA,OPTIMA HYBRID,198,0.3434343434343434
396,KIA,SPECTRA,338,0.31952662721893493
392,KIA,SEDONA,436,0.3302752293577982
389,KIA,RIO,594,0.3451178451178451
398,KIA,SPORTAGE,703,0.32147937411095306
386,KIA,FORTE,1135,0.3674008810572687
387,KIA,OPTIMA,1653,0.3514821536600121
395,KIA,SOUL,1750,0.3377142857142857
394,KIA,SORENTO,2033,0.3010329562223315
