,purchase_make,purchase_model,model_popularity,actual
429,LEXUS,LX 450,1,0.0
438,LEXUS,SC 400,2,1.0
437,LEXUS,SC 300,3,1.0
409,LEXUS,ES 300H,4,1.0
414,LEXUS,GS 400,4,0.5
428,LEXUS,LS 600H,9,0.4444444444444444
425,LEXUS,LS 400,12,0.5833333333333334
417,LEXUS,GS 460,14,0.42857142857142855
431,LEXUS,LX 570,35,0.45714285714285713
416,LEXUS,GS 450H,38,0.3157894736842105
415,LEXUS,GS 430,38,0.42105263157894735
430,LEXUS,LX 470,52,0.2692307692307692
424,LEXUS,IS F,58,0.46551724137931033
422,LEXUS,IS 300,86,0.4186046511627907
418,LEXUS,GX 460,95,0.45263157894736844
432,LEXUS,RX 300,106,0.39622641509433965
436,LEXUS,RX 450H,157,0.31210191082802546
435,LEXUS,RX 400H,170,0.32941176470588235
407,LEXUS,CT 200H,195,0.2564102564102564
408,LEXUS,ES 300,198,0.45454545454545453
439,LEXUS,SC 430,214,0.4158878504672897
426,LEXUS,LS 430,283,0.38869257950530034
423,LEXUS,IS 350,285,0.3087719298245614
412,LEXUS,GS 300,288,0.3645833333333333
410,LEXUS,ES 330,334,0.3263473053892216
427,LEXUS,LS 460,373,0.4101876675603217
419,LEXUS,GX 470,376,0.3377659574468085
413,LEXUS,GS 350,409,0.34474327628361856
420,LEXUS,HS 250H,497,0.3118712273641851
433,LEXUS,RX 330,514,0.33073929961089493
411,LEXUS,ES 350,1341,0.34750186428038776
421,LEXUS,IS 250,1433,0.33984647592463363
434,LEXUS,RX 350,1605,0.335202492211838
