,purchase_make,purchase_model,model_popularity,actual
441,LINCOLN,BLACKWOOD,1,1.0
445,LINCOLN,MARK VII,1,1.0
446,LINCOLN,MARK VIII,2,0.5
442,LINCOLN,CONTINENTAL,10,0.6666666666666666
444,LINCOLN,MARK LT,33,0.36363636363636365
440,LINCOLN,AVIATOR,37,0.43243243243243246
451,LINCOLN,MKZ HYBRID,40,0.375
455,LINCOLN,ZEPHYR,55,0.43636363636363634
453,LINCOLN,NAVIGATOR L,56,0.32142857142857145
443,LINCOLN,LS,66,0.45454545454545453
452,LINCOLN,NAVIGATOR,219,0.3744292237442922
448,LINCOLN,MKT,266,0.38345864661654133
447,LINCOLN,MKS,352,0.3409090909090909
454,LINCOLN,TOWN CAR,499,0.37675350701402804
449,LINCOLN,MKX,561,0.33689839572192515
450,LINCOLN,MKZ,653,0.3660030627871363
