,purchase_make,purchase_model,model_popularity,actual
480,MAZDA,TRIBUTE HYBRID,1,1.0
473,MAZDA,MX-3,1,1.0
461,MAZDA,B2500,2,1.0
477,MAZDA,RX-7,3,1.0
463,MAZDA,B4000,3,0.3333333333333333
471,MAZDA,MILLENIA,7,0.7142857142857143
459,MAZDA,626,11,0.6363636363636364
460,MAZDA,B2300,20,0.45
462,MAZDA,B3000,23,0.5217391304347826
476,MAZDA,PROTEGE5,23,0.5652173913043478
475,MAZDA,PROTEGE,38,0.631578947368421
472,MAZDA,MPV,63,0.30158730158730157
464,MAZDA,CX-5,71,0.28169014084507044
478,MAZDA,RX-8,213,0.3568075117370892
479,MAZDA,TRIBUTE,216,0.32407407407407407
467,MAZDA,MAZDA2,315,0.3523809523809524
474,MAZDA,MX-5 MIATA,647,0.36321483771251933
469,MAZDA,MAZDA5,746,0.3445040214477212
466,MAZDA,CX-9,875,0.3325714285714286
465,MAZDA,CX-7,1196,0.3269230769230769
470,MAZDA,MAZDA6,2427,0.3259167696744953
468,MAZDA,MAZDA3,3392,0.3263561320754717
