,purchase_make,purchase_model,model_popularity,actual
565,MERCEDES-BENZ,SPRINTER 3500,1,0.0
511,MERCEDES-BENZ,CLK63 AMG Black Series,1,0.0
499,MERCEDES-BENZ,CL500,1,1.0
496,MERCEDES-BENZ,C43 AMG,1,0.0
519,MERCEDES-BENZ,E420,1,0.0
525,MERCEDES-BENZ,G500,1,1.0
540,MERCEDES-BENZ,S320,1,1.0
493,MERCEDES-BENZ,C32 AMG,1,1.0
482,MERCEDES-BENZ,380,1,1.0
543,MERCEDES-BENZ,S420,1,0.0
483,MERCEDES-BENZ,400,1,1.0
485,MERCEDES-BENZ,450,1,1.0
484,MERCEDES-BENZ,420,1,0.0
487,MERCEDES-BENZ,C220,1,0.0
548,MERCEDES-BENZ,S600,2,0.5
546,MERCEDES-BENZ,S55 AMG,2,0.5
516,MERCEDES-BENZ,E300,2,1.0
497,MERCEDES-BENZ,C55 AMG,2,1.0
530,MERCEDES-BENZ,GLK250,2,0.0
500,MERCEDES-BENZ,CL55 AMG,3,0.6666666666666666
520,MERCEDES-BENZ,E430,3,1.0
502,MERCEDES-BENZ,CL600,4,1.0
510,MERCEDES-BENZ,CLK63 AMG,6,0.5
557,MERCEDES-BENZ,SLK250,6,0.0
508,MERCEDES-BENZ,CLK55 AMG,6,0.6666666666666666
554,MERCEDES-BENZ,SL600,6,0.6666666666666666
563,MERCEDES-BENZ,SPRINTER,6,0.5
541,MERCEDES-BENZ,S350,7,0.42857142857142855
550,MERCEDES-BENZ,S65 AMG,8,1.0
506,MERCEDES-BENZ,CLK430,8,0.625
549,MERCEDES-BENZ,S63 AMG,8,0.5
564,MERCEDES-BENZ,SPRINTER 2500,9,0.2222222222222222
539,MERCEDES-BENZ,R500,9,0.2222222222222222
552,MERCEDES-BENZ,SL55 AMG,9,0.2222222222222222
555,MERCEDES-BENZ,SL63 AMG,9,0.2222222222222222
513,MERCEDES-BENZ,CLS55 AMG,9,0.3333333333333333
503,MERCEDES-BENZ,CL63 AMG,9,0.5555555555555556
486,MERCEDES-BENZ,560,9,0.6666666666666666
556,MERCEDES-BENZ,SLK230,10,0.5
534,MERCEDES-BENZ,ML500,11,0.09090909090909091
515,MERCEDES-BENZ,CLS63 AMG,11,0.7272727272727273
537,MERCEDES-BENZ,R320,12,0.6666666666666666
494,MERCEDES-BENZ,C320,12,0.4166666666666667
522,MERCEDES-BENZ,E55 AMG,13,0.5384615384615384
560,MERCEDES-BENZ,SLK320,13,0.6923076923076923
544,MERCEDES-BENZ,S430,14,0.42857142857142855
545,MERCEDES-BENZ,S500,18,0.6666666666666666
536,MERCEDES-BENZ,ML63 AMG,21,0.47619047619047616
526,MERCEDES-BENZ,GL320,23,0.30434782608695654
532,MERCEDES-BENZ,ML320,25,0.48
562,MERCEDES-BENZ,SLK55 AMG,29,0.3103448275862069
535,MERCEDES-BENZ,ML550,31,0.4838709677419355
501,MERCEDES-BENZ,CL550,31,0.41935483870967744
527,MERCEDES-BENZ,GL350,32,0.375
489,MERCEDES-BENZ,C240,33,0.3939393939393939
542,MERCEDES-BENZ,S400,33,0.48484848484848486
512,MERCEDES-BENZ,CLS500,35,0.5428571428571428
521,MERCEDES-BENZ,E500,36,0.4166666666666667
507,MERCEDES-BENZ,CLK500,40,0.3
504,MERCEDES-BENZ,CLK320,43,0.4883720930232558
509,MERCEDES-BENZ,CLK550,46,0.41304347826086957
559,MERCEDES-BENZ,SLK300,48,0.4583333333333333
524,MERCEDES-BENZ,E63 AMG,56,0.39285714285714285
498,MERCEDES-BENZ,C63 AMG,60,0.36666666666666664
491,MERCEDES-BENZ,C280,63,0.31746031746031744
551,MERCEDES-BENZ,SL500,73,0.3561643835616438
529,MERCEDES-BENZ,GL550,74,0.3108108108108108
517,MERCEDES-BENZ,E320,85,0.4470588235294118
553,MERCEDES-BENZ,SL550,96,0.3645833333333333
558,MERCEDES-BENZ,SLK280,100,0.41
538,MERCEDES-BENZ,R350,132,0.3712121212121212
561,MERCEDES-BENZ,SLK350,144,0.3611111111111111
514,MERCEDES-BENZ,CLS550,157,0.3630573248407643
523,MERCEDES-BENZ,E550,191,0.34554973821989526
488,MERCEDES-BENZ,C230,206,0.32524271844660196
495,MERCEDES-BENZ,C350,236,0.3305084745762712
505,MERCEDES-BENZ,CLK350,246,0.32113821138211385
547,MERCEDES-BENZ,S550,259,0.4594594594594595
490,MERCEDES-BENZ,C250,336,0.37202380952380953
528,MERCEDES-BENZ,GL450,339,0.3687315634218289
531,MERCEDES-BENZ,GLK350,643,0.3561430793157076
533,MERCEDES-BENZ,ML350,983,0.37741607324516785
518,MERCEDES-BENZ,E350,1874,0.35485592315901815
481,MERCEDES-BENZ,300,2473,0.6666666666666666
492,MERCEDES-BENZ,C300,3556,0.3315523059617548
