,purchase_make,purchase_model,model_popularity,actual
578,MERCURY,TOPAZ,1,0.0
579,MERCURY,TRACER,1,0.0
576,MERCURY,MYSTIQUE,2,0.5
580,MERCURY,VILLAGER,3,0.6666666666666666
566,MERCURY,COUGAR,7,0.42857142857142855
572,MERCURY,MILAN HYBRID,7,0.42857142857142855
568,MERCURY,MARAUDER,11,0.5454545454545454
574,MERCURY,MONTEREY,15,0.26666666666666666
570,MERCURY,MARINER HYBRID,28,0.25
573,MERCURY,MONTEGO,57,0.3508771929824561
577,MERCURY,SABLE,105,0.3523809523809524
575,MERCURY,MOUNTAINEER,174,0.41954022988505746
569,MERCURY,MARINER,335,0.3044776119402985
571,MERCURY,MILAN,386,0.3238341968911917
567,MERCURY,GRAND MARQUIS,669,0.336322869955157
