,purchase_make,purchase_model,model_popularity,actual
583,MITSUBISHI,CARGO VAN,1,1.0
595,MITSUBISHI,i-MIEV,1,1.0
582,MITSUBISHI,3000GT,3,1.0
589,MITSUBISHI,MIRAGE,4,0.5
584,MITSUBISHI,DIAMANTE,5,0.6
591,MITSUBISHI,MONTERO SPORT,13,0.46153846153846156
590,MITSUBISHI,MONTERO,14,0.35714285714285715
594,MITSUBISHI,RAIDER,62,0.27419354838709675
593,MITSUBISHI,OUTLANDER SPORT,179,0.31843575418994413
586,MITSUBISHI,ENDEAVOR,326,0.3496932515337423
592,MITSUBISHI,OUTLANDER,398,0.31909547738693467
588,MITSUBISHI,LANCER,640,0.34375
587,MITSUBISHI,GALANT,654,0.3486238532110092
585,MITSUBISHI,ECLIPSE,742,0.3436657681940701
