,purchase_make,purchase_model,model_popularity,actual
596,NISSAN,2002,1,1.0
607,NISSAN,GT-R,1,1.0
597,NISSAN,200SX,3,0.6666666666666666
598,NISSAN,240SX,5,1.0
609,NISSAN,KING CAB,6,0.6666666666666666
599,NISSAN,300ZX,9,0.6666666666666666
610,NISSAN,LEAF,11,0.2727272727272727
614,NISSAN,NV 1500,12,0.5833333333333334
617,NISSAN,PICKUP,18,0.4444444444444444
615,NISSAN,NV 2500,19,0.47368421052631576
623,NISSAN,VERSA NOTE,35,0.22857142857142856
603,NISSAN,ALTIMA HYBRID,47,0.40425531914893614
613,NISSAN,MURANO CROSS CABRIOLET,52,0.28846153846153844
601,NISSAN,370Z,468,0.3482905982905983
608,NISSAN,JUKE,485,0.36907216494845363
618,NISSAN,QUEST,523,0.33460803059273425
605,NISSAN,CUBE,525,0.34285714285714286
600,NISSAN,350Z,814,0.35626535626535627
604,NISSAN,ARMADA,862,0.33642691415313225
621,NISSAN,TITAN,923,0.3542795232936078
624,NISSAN,XTERRA,1046,0.32887189292543023
606,NISSAN,FRONTIER,1360,0.3191176470588235
616,NISSAN,PATHFINDER,1544,0.32189119170984454
612,NISSAN,MURANO,2384,0.3464765100671141
611,NISSAN,MAXIMA,3489,0.3284608770421324
619,NISSAN,ROGUE,4180,0.3215311004784689
622,NISSAN,VERSA,4337,0.32695411574821304
620,NISSAN,SENTRA,4543,0.33281972265023113
602,NISSAN,ALTIMA,11655,0.32715572715572716
