,purchase_make,purchase_model,model_popularity,actual
643,PONTIAC,CATALINA,1,1.0
654,PONTIAC,SUNBIRD,1,0.0
644,PONTIAC,FIREBIRD,10,0.8
641,PONTIAC,AZTEK,12,0.25
652,PONTIAC,MONTANA,15,0.4
655,PONTIAC,SUNFIRE,17,0.5294117647058824
642,PONTIAC,BONNEVILLE,23,0.43478260869565216
645,PONTIAC,G3,30,0.43333333333333335
649,PONTIAC,GRAND AM,51,0.39215686274509803
651,PONTIAC,GTO,88,0.3409090909090909
656,PONTIAC,TORRENT,97,0.31958762886597936
648,PONTIAC,G8,126,0.38095238095238093
646,PONTIAC,G5,130,0.2846153846153846
650,PONTIAC,GRAND PRIX,183,0.3333333333333333
657,PONTIAC,VIBE,201,0.31840796019900497
653,PONTIAC,SOLSTICE,331,0.36253776435045315
647,PONTIAC,G6,762,0.2979002624671916
