,purchase_make,purchase_model,model_popularity,actual
689,SATURN,SW2,1,1.0
688,SATURN,SW1,1,1.0
677,SATURN,LS2,2,0.5
673,SATURN,L100,2,0.0
682,SATURN,SC1,2,1.0
676,SATURN,LS1,2,0.5
678,SATURN,LW200,2,0.0
671,SATURN,AURA HYBRID,3,0.3333333333333333
679,SATURN,LW300,3,0.6666666666666666
683,SATURN,SC2,6,0.6666666666666666
685,SATURN,SL,6,0.6666666666666666
681,SATURN,RELAY,11,0.18181818181818182
686,SATURN,SL1,11,0.9090909090909091
674,SATURN,L200,15,0.3333333333333333
687,SATURN,SL2,23,0.5652173913043478
675,SATURN,L300,33,0.36363636363636365
691,SATURN,VUE HYBRID,53,0.2641509433962264
669,SATURN,ASTRA,112,0.30357142857142855
680,SATURN,OUTLOOK,177,0.3728813559322034
684,SATURN,SKY,229,0.37117903930131
670,SATURN,AURA,330,0.3181818181818182
672,SATURN,ION,470,0.33617021276595743
690,SATURN,VUE,605,0.28760330578512394
