,purchase_make,purchase_model,model_popularity,actual,
744,TOYOTA,SUPRA,1,1,0.34
735,TOYOTA,PREVIA,2,1,0.34
732,TOYOTA,MR2,2,0,0.34
749,TOYOTA,XTRACAB,4,1,0.34
746,TOYOTA,TERCEL,5,0.6,0.34
734,TOYOTA,PICKUP,18,0.857142857,0.34
721,TOYOTA,AVALON HYBRID,24,0.375,0.34
738,TOYOTA,PRIUS PLUG IN HYBRID,29,0.482758621,0.34
726,TOYOTA,ECHO,29,0.551724138,0.34
733,TOYOTA,MR2 SPYDER,30,0.3,0.34
724,TOYOTA,CELICA,56,0.535714286,0.34
730,TOYOTA,LAND CRUISER,65,0.353846154,0.34
739,TOYOTA,PRIUS V,80,0.3,0.34
737,TOYOTA,PRIUS C,107,0.23364486,0.34
729,TOYOTA,HIGHLANDER HYBRID,175,0.297142857,0.34
723,TOYOTA,CAMRY HYBRID,378,0.30952381,0.34
743,TOYOTA,SOLARA,513,0.34502924,0.34
731,TOYOTA,MATRIX,576,0.322916667,0.34
727,TOYOTA,FJ CRUISER,696,0.331896552,0.34
741,TOYOTA,SEQUOIA,704,0.346590909,0.34
748,TOYOTA,VENZA,909,0.314631463,0.34
720,TOYOTA,AVALON,1086,0.35174954,0.34
750,TOYOTA,YARIS,1519,0.344963792,0.34
719,TOYOTA,4RUNNER,1580,0.343670886,0.34
742,TOYOTA,SIENNA,1891,0.351665785,0.34
728,TOYOTA,HIGHLANDER,2062,0.335596508,0.34
747,TOYOTA,TUNDRA,2411,0.339278308,0.34
745,TOYOTA,TACOMA,2709,0.357327427,0.34
736,TOYOTA,PRIUS,3110,0.328938907,0.34
740,TOYOTA,RAV4,4099,0.324469383,0.34
725,TOYOTA,COROLLA,6419,0.333385263,0.34
722,TOYOTA,CAMRY,9681,0.324863134,0.34
