,purchase_make,purchase_model,model_popularity,actual
760,VOLKSWAGEN,JETTA HYBRID,1,1.0
752,VOLKSWAGEN,CABRIO,3,0.0
755,VOLKSWAGEN,EUROVAN,3,0.6666666666666666
762,VOLKSWAGEN,PHAETON,3,0.3333333333333333
763,VOLKSWAGEN,R32,25,0.28
756,VOLKSWAGEN,GLI,49,0.32653061224489793
764,VOLKSWAGEN,RABBIT,188,0.31382978723404253
767,VOLKSWAGEN,TOUAREG,277,0.3574007220216607
757,VOLKSWAGEN,GOLF,281,0.3416370106761566
754,VOLKSWAGEN,EOS,358,0.3659217877094972
758,VOLKSWAGEN,GTI,522,0.3371647509578544
765,VOLKSWAGEN,ROUTAN,696,0.3649425287356322
766,VOLKSWAGEN,TIGUAN,771,0.3670557717250324
751,VOLKSWAGEN,BEETLE,898,0.3273942093541203
753,VOLKSWAGEN,CC,1227,0.3333333333333333
761,VOLKSWAGEN,PASSAT,1422,0.3628691983122363
759,VOLKSWAGEN,JETTA,3997,0.33925444083062295
