,purchase_make,purchase_model,model_popularity,actual
768,VOLVO,240,1,0.0
770,VOLVO,940,1,0.0
774,VOLVO,DL,1,1.0
771,VOLVO,960,2,0.5
779,VOLVO,S90,3,0.6666666666666666
769,VOLVO,850,4,0.75
777,VOLVO,S70,6,1.0
781,VOLVO,V70,41,0.43902439024390244
780,VOLVO,V50,45,0.28888888888888886
783,VOLVO,XC70,90,0.24444444444444444
772,VOLVO,C30,120,0.325
773,VOLVO,C70,155,0.36129032258064514
778,VOLVO,S80,177,0.4124293785310734
782,VOLVO,XC60,200,0.34
776,VOLVO,S60,241,0.35684647302904565
775,VOLVO,S40,279,0.3942652329749104
784,VOLVO,XC90,334,0.33532934131736525
