,model_popularity,purchase_model,actual
0,2.7658003258112785e-06,100 SERIES,1.0
67,2.7658003258112785e-06,RAM VAN 1500,0.0
66,2.7658003258112785e-06,RAM C/V,0.0
65,2.7658003258112785e-06,RAM 5500,0.0
64,2.7658003258112785e-06,R8,1.0
63,2.7658003258112785e-06,R10,1.0
62,2.7658003258112785e-06,QX60,1.0
61,2.7658003258112785e-06,PROBE,1.0
60,2.7658003258112785e-06,NPR,1.0
59,2.7658003258112785e-06,NEW YORKER,0.0
58,2.7658003258112785e-06,MX-3,1.0
57,2.7658003258112785e-06,MAVERICK,1.0
55,2.7658003258112785e-06,M30,0.0
54,2.7658003258112785e-06,LX 450,0.0
53,2.7658003258112785e-06,LUMINA APV,0.0
52,2.7658003258112785e-06,LTD,0.0
51,2.7658003258112785e-06,LSS,0.0
50,2.7658003258112785e-06,LANOS,1.0
49,2.7658003258112785e-06,JETTA HYBRID,1.0
48,2.7658003258112785e-06,J30,1.0
68,2.7658003258112785e-06,REGENCY,1.0
69,2.7658003258112785e-06,S320,1.0
70,2.7658003258112785e-06,S420,0.0
71,2.7658003258112785e-06,SEPHIA,0.0
91,2.7658003258112785e-06,i-MIEV,1.0
90,2.7658003258112785e-06,i-350,0.0
89,2.7658003258112785e-06,XG300,1.0
88,2.7658003258112785e-06,X6 HYBRID,0.0
87,2.7658003258112785e-06,X-90,1.0
86,2.7658003258112785e-06,VIPER,1.0
85,2.7658003258112785e-06,VIGOR,1.0
84,2.7658003258112785e-06,VEHICROSS,0.0
83,2.7658003258112785e-06,TRIBUTE HYBRID,1.0
47,2.7658003258112785e-06,GT-R,1.0
82,2.7658003258112785e-06,TRACER,0.0
80,2.7658003258112785e-06,SW2,1.0
79,2.7658003258112785e-06,SW1,1.0
78,2.7658003258112785e-06,SUPRA,1.0
77,2.7658003258112785e-06,SUPER EIGHT,1.0
76,2.7658003258112785e-06,SUNDANCE,1.0
75,2.7658003258112785e-06,SUNBIRD,0.0
74,2.7658003258112785e-06,SUMMIT,1.0
73,2.7658003258112785e-06,SPRINTER 3500,0.0
72,2.7658003258112785e-06,SPIDER,1.0
81,2.7658003258112785e-06,TOPAZ,0.0
46,2.7658003258112785e-06,G500,1.0
56,2.7658003258112785e-06,MARK VII,1.0
44,2.7658003258112785e-06,FOCUS ELECTRIC,1.0
20,2.7658003258112785e-06,C43 AMG,0.0
19,2.7658003258112785e-06,C32 AMG,1.0
18,2.7658003258112785e-06,C2500,0.0
17,2.7658003258112785e-06,C220,0.0
16,2.7658003258112785e-06,C1500,0.0
15,2.7658003258112785e-06,C/V,1.0
14,2.7658003258112785e-06,C/K 3500,0.0
45,2.7658003258112785e-06,G30,1.0
12,2.7658003258112785e-06,BLACKWOOD,1.0
21,2.7658003258112785e-06,C450,0.0
11,2.7658003258112785e-06,AXIOM,1.0
9,2.7658003258112785e-06,940,0.0
8,2.7658003258112785e-06,9-2X,1.0
7,2.7658003258112785e-06,450,1.0
6,2.7658003258112785e-06,420,0.0
5,2.7658003258112785e-06,400,1.0
4,2.7658003258112785e-06,380,1.0
3,2.7658003258112785e-06,318,1.0
2,2.7658003258112785e-06,240,0.0
1,2.7658003258112785e-06,2002,1.0
10,2.7658003258112785e-06,ASPEN HYBRID,0.0
22,2.7658003258112785e-06,CADENZA,0.0
